_id,user_id,followerCount,followingCount
ObjectId(5a8f736f7bebff02512d5081),295475,0,0
ObjectId(5a8f73737bebff02512d5083),327436,0,2
ObjectId(5a8f73767bebff02512d5087),335780,0,0
ObjectId(5a8f737c7bebff02512d50b2),238967,0,3
ObjectId(5a8f73807bebff02512d50b6),240335,0,2
ObjectId(5a8f73847bebff02512d50b9),304478,0,1
ObjectId(5a8f73897bebff02512d50bc),307144,5,0
ObjectId(5a8f738c7bebff02512d50c0),309935,25,0
ObjectId(5a8f73907bebff02512d50c2),316193,0,0
ObjectId(5a8f73957bebff02512d50c6),301293,89,0
ObjectId(5a8f73977bebff02512d50c9),303820,0,0
ObjectId(5a8f739a7bebff02512d50cb),302782,55,9
ObjectId(5a8f739e7bebff02512d50cf),311064,0,0
ObjectId(5a8f73a27bebff02512d50d4),303008,1,0
ObjectId(5a8f73a67bebff02512d50d6),318983,0,1
ObjectId(5a8f73a97bebff02512d50da),333834,0,6
ObjectId(5a8f73ac7bebff02512d50dd),313135,0,0
ObjectId(5a8f73af7bebff02512d50df),318103,0,0
ObjectId(5a8f73b47bebff02512d50e3),328316,0,0
ObjectId(5a8f73bb7bebff02512d510f),331228,0,0
ObjectId(5a8f73be7bebff02512d5113),331285,0,1
ObjectId(5a8f73c17bebff02512d5115),311909,8,5
ObjectId(5a8f73c57bebff02512d5119),330473,0,0
ObjectId(5a8f73c97bebff02512d511c),332830,0,1
ObjectId(5a8f73cd7bebff02512d511e),132782,9,1
ObjectId(5a8f73d27bebff02512d5122),295361,0,0
ObjectId(5a8f73d67bebff02512d5125),312214,1,1
ObjectId(5a8f73d97bebff02512d5128),321629,0,0
ObjectId(5a8f73dd7bebff02512d512e),325190,0,0
ObjectId(5a8f73df7bebff02512d5130),325658,0,0
ObjectId(5a8f73e37bebff02512d5134),327238,0,0
ObjectId(5a8f73e67bebff02512d5137),332671,0,1
ObjectId(5a8f73ea7bebff02512d5139),332798,0,0
ObjectId(5a8f73ee7bebff02512d513d),334823,0,0
ObjectId(5a8f73f07bebff02512d513f),334852,0,0
ObjectId(5a8f73f47bebff02512d5142),331101,0,0
